ticker,permno,date,prc,ret,vwretd
AAPL,14593,2020-01-31,309.51001,0.05401,-0.001728
AAPL,14593,2020-02-28,273.35999,-0.11431,-0.077918
AAPL,14593,2020-03-31,254.28999,-0.069762,-0.141733
AAPL,14593,2020-04-30,293.79999,0.155374,0.129674
AAPL,14593,2020-05-29,317.94,0.084956,0.053739
AAPL,14593,2020-06-30,364.79999,0.147386,0.025299
AAPL,14593,2020-07-31,425.04001,0.165132,0.055532
AAPL,14593,2020-08-31,129.03999,0.216309,0.068442
AAPL,14593,2020-09-30,115.81,-0.102526,-0.035056
AAPL,14593,2020-10-30,108.86,-0.060012,-0.020178
AAPL,14593,2020-11-30,119.05,0.09549,0.123707
AAPL,14593,2020-12-31,132.69,0.114574,0.045048
AAPL,14593,2021-01-29,131.96001,-0.005502,-0.000631
AAPL,14593,2021-02-26,121.26,-0.079532,0.029196
AAPL,14593,2021-03-31,122.15,0.00734,0.030573
AAPL,14593,2021-04-30,131.46001,0.076218,0.04819
AAPL,14593,2021-05-28,124.61,-0.050434,0.007092
AAPL,14593,2021-06-30,136.96001,0.099109,0.023422
AAPL,14593,2021-07-30,145.86,0.064982,0.011828
AAPL,14593,2021-08-31,151.83,0.042438,0.027146
AAPL,14593,2021-09-30,141.5,-0.068037,-0.042243
AAPL,14593,2021-10-29,149.8,0.058657,0.064651
AAPL,14593,2021-11-30,165.3,0.10494,-0.018351
AAPL,14593,2021-12-31,177.57001,0.074229,0.033341
AAPL,14593,2022-01-31,174.78,-0.015712,-0.059823
AAPL,14593,2022-02-28,165.12,-0.054011,-0.021838
AAPL,14593,2022-03-31,174.61,0.057473,0.030506
AAPL,14593,2022-04-29,157.64999,-0.097131,-0.089387
AAPL,14593,2022-05-31,148.84,-0.054424,-0.002113
AAPL,14593,2022-06-30,136.72,-0.08143,-0.083998
AAPL,14593,2022-07-29,162.50999,0.188634,0.090351
AAPL,14593,2022-08-31,157.22,-0.031137,-0.036233
AAPL,14593,2022-09-30,138.2,-0.120977,-0.091323
AAPL,14593,2022-10-31,153.34,0.109551,0.077394
AAPL,14593,2022-11-30,148.03,-0.033129,0.052354
AAPL,14593,2022-12-30,129.92999,-0.122273,-0.05712
AAPL,14593,2023-01-31,144.28999,0.110521,0.071823
AAPL,14593,2023-02-28,147.41,0.023217,-0.024666
AAPL,14593,2023-03-31,164.89999,0.118649,0.02395
AAPL,14593,2023-04-28,169.67999,0.028987,0.008976
AAPL,14593,2023-05-31,177.25,0.046028,0.000708
AAPL,14593,2023-06-30,193.97,0.09433,0.066183
AAPL,14593,2023-07-31,196.45,0.012786,0.035618
AAPL,14593,2023-08-31,187.87,-0.042454,-0.020608
AAPL,14593,2023-09-29,171.21001,-0.088678,-0.047391
AAPL,14593,2023-10-31,170.77,-0.00257,-0.028865
AAPL,14593,2023-11-30,189.95,0.11372,0.092053
AAPL,14593,2023-12-29,192.53,0.013583,0.053604
AAPL,14593,2024-01-31,184.39999,-0.042227,0.007561
AAPL,14593,2024-02-29,180.75,-0.018492,0.050584
AAPL,14593,2024-03-28,171.48,-0.051286,0.03245
AAPL,14593,2024-04-30,170.33,-0.006706,-0.042724
AAPL,14593,2024-05-31,192.25,0.130159,0.046553
AAPL,14593,2024-06-28,210.62,0.095553,0.026073
AAPL,14593,2024-07-31,222.08,0.054411,0.019878
AAPL,14593,2024-08-30,229.0,0.032286,0.021572
AAPL,14593,2024-09-30,233.0,0.017467,0.020969
AAPL,14593,2024-10-31,225.91,-0.030429,-0.008298
AAPL,14593,2024-11-29,237.33,0.051658,0.064855
AAPL,14593,2024-12-31,250.42,0.055155,-0.031582
AMZN,84788,2020-01-31,2008.71997,0.087064,-0.001728
AMZN,84788,2020-02-28,1883.75,-0.062214,-0.077918
AMZN,84788,2020-03-31,1949.71997,0.035021,-0.141733
AMZN,84788,2020-04-30,2474.0,0.2689,0.129674
AMZN,84788,2020-05-29,2442.37012,-0.012785,0.053739
AMZN,84788,2020-06-30,2758.82007,0.129567,0.025299
AMZN,84788,2020-07-31,3164.67993,0.147114,0.055532
AMZN,84788,2020-08-31,3450.95996,0.090461,0.068442
AMZN,84788,2020-09-30,3148.72998,-0.087579,-0.035056
AMZN,84788,2020-10-30,3036.1499,-0.035754,-0.020178
AMZN,84788,2020-11-30,3168.04004,0.04344,0.123707
AMZN,84788,2020-12-31,3256.92993,0.028058,0.045048
AMZN,84788,2021-01-29,3206.19995,-0.015576,-0.000631
AMZN,84788,2021-02-26,3092.92993,-0.035328,0.029196
AMZN,84788,2021-03-31,3094.08008,0.000372,0.030573
AMZN,84788,2021-04-30,3467.41992,0.120663,0.04819
AMZN,84788,2021-05-28,3223.07007,-0.07047,0.007092
AMZN,84788,2021-06-30,3440.15991,0.067355,0.023422
AMZN,84788,2021-07-30,3327.59009,-0.032722,0.011828
AMZN,84788,2021-08-31,3470.79004,0.043034,0.027146
AMZN,84788,2021-09-30,3285.04004,-0.053518,-0.042243
AMZN,84788,2021-10-29,3372.42993,0.026602,0.064651
AMZN,84788,2021-11-30,3507.07007,0.039924,-0.018351
AMZN,84788,2021-12-31,3334.34009,-0.049252,0.033341
AMZN,84788,2022-01-31,2991.46997,-0.10283,-0.059823
AMZN,84788,2022-02-28,3071.26001,0.026673,-0.021838
AMZN,84788,2022-03-31,3259.94995,0.061437,0.030506
AMZN,84788,2022-04-29,2485.62988,-0.237525,-0.089387
AMZN,84788,2022-05-31,2404.18994,-0.032764,-0.002113
AMZN,84788,2022-06-30,106.21,-0.116459,-0.083998
AMZN,84788,2022-07-29,134.95,0.270596,0.090351
AMZN,84788,2022-08-31,126.77,-0.060615,-0.036233
AMZN,84788,2022-09-30,113.0,-0.108622,-0.091323
AMZN,84788,2022-10-31,102.44,-0.093451,0.077394
AMZN,84788,2022-11-30,96.54,-0.057595,0.052354
AMZN,84788,2022-12-30,84.0,-0.129894,-0.05712
AMZN,84788,2023-01-31,103.13,0.227738,0.071823
AMZN,84788,2023-02-28,94.23,-0.086299,-0.024666
AMZN,84788,2023-03-31,103.29,0.096148,0.02395
AMZN,84788,2023-04-28,105.45,0.020912,0.008976
AMZN,84788,2023-05-31,120.58,0.14348,0.000708
AMZN,84788,2023-06-30,130.36,0.081108,0.066183
AMZN,84788,2023-07-31,133.67999,0.025468,0.035618
AMZN,84788,2023-08-31,138.00999,0.032391,-0.020608
AMZN,84788,2023-09-29,127.12,-0.078907,-0.047391
AMZN,84788,2023-10-31,133.09,0.046963,-0.028865
AMZN,84788,2023-11-30,146.09,0.097678,0.092053
AMZN,84788,2023-12-29,151.94,0.040044,0.053604
AMZN,84788,2024-01-31,155.2,0.021456,0.007561
AMZN,84788,2024-02-29,176.75999,0.138918,0.050584
AMZN,84788,2024-03-28,180.38,0.02048,0.03245
AMZN,84788,2024-04-30,175.0,-0.029826,-0.042724
AMZN,84788,2024-05-31,176.44,0.008229,0.046553
AMZN,84788,2024-06-28,193.25,0.095273,0.026073
AMZN,84788,2024-07-31,186.98,-0.032445,0.019878
AMZN,84788,2024-08-30,178.5,-0.045352,0.021572
AMZN,84788,2024-09-30,186.33,0.043866,0.020969
AMZN,84788,2024-10-31,186.39999,0.000376,-0.008298
AMZN,84788,2024-11-29,207.89,0.11529,0.064855
AMZN,84788,2024-12-31,219.39,0.055318,-0.031582
GOOGL,90319,2020-01-31,1432.78003,0.069726,-0.001728
GOOGL,90319,2020-02-28,1339.25,-0.065279,-0.077918
GOOGL,90319,2020-03-31,1161.94995,-0.132388,-0.141733
GOOGL,90319,2020-04-30,1346.69995,0.159,0.129674
GOOGL,90319,2020-05-29,1433.52002,0.064469,0.053739
GOOGL,90319,2020-06-30,1418.05005,-0.010792,0.025299
GOOGL,90319,2020-07-31,1487.94995,0.049293,0.055532
GOOGL,90319,2020-08-31,1629.53003,0.095151,0.068442
GOOGL,90319,2020-09-30,1465.59998,-0.1006,-0.035056
GOOGL,90319,2020-10-30,1616.10999,0.102695,-0.020178
GOOGL,90319,2020-11-30,1754.40002,0.08557,0.123707
GOOGL,90319,2020-12-31,1752.64001,-0.001003,0.045048
GOOGL,90319,2021-01-29,1827.35999,0.042633,-0.000631
GOOGL,90319,2021-02-26,2021.91003,0.106465,0.029196
GOOGL,90319,2021-03-31,2062.52002,0.020085,0.030573
GOOGL,90319,2021-04-30,2353.5,0.14108,0.04819
GOOGL,90319,2021-05-28,2356.8501,0.001423,0.007092
GOOGL,90319,2021-06-30,2441.79004,0.03604,0.023422
GOOGL,90319,2021-07-30,2694.53003,0.103506,0.011828
GOOGL,90319,2021-08-31,2893.94995,0.074009,0.027146
GOOGL,90319,2021-09-30,2673.52002,-0.076169,-0.042243
GOOGL,90319,2021-10-29,2960.91992,0.107499,0.064651
GOOGL,90319,2021-11-30,2837.94995,-0.041531,-0.018351
GOOGL,90319,2021-12-31,2897.04004,0.020821,0.033341
GOOGL,90319,2022-01-31,2706.07007,-0.065919,-0.059823
GOOGL,90319,2022-02-28,2701.13989,-0.001822,-0.021838
GOOGL,90319,2022-03-31,2781.3501,0.029695,0.030506
GOOGL,90319,2022-04-29,2282.18994,-0.179467,-0.089387
GOOGL,90319,2022-05-31,2275.23999,-0.003045,-0.002113
GOOGL,90319,2022-06-30,2179.26001,-0.042185,-0.083998
GOOGL,90319,2022-07-29,116.32,0.067518,0.090351
GOOGL,90319,2022-08-31,108.22,-0.069636,-0.036233
GOOGL,90319,2022-09-30,95.65,-0.116152,-0.091323
GOOGL,90319,2022-10-31,94.51,-0.011918,0.077394
GOOGL,90319,2022-11-30,100.99,0.068564,0.052354
GOOGL,90319,2022-12-30,88.23,-0.126349,-0.05712
GOOGL,90319,2023-01-31,98.84,0.120254,0.071823
GOOGL,90319,2023-02-28,90.06,-0.08883,-0.024666
GOOGL,90319,2023-03-31,103.73,0.151788,0.02395
GOOGL,90319,2023-04-28,107.34,0.034802,0.008976
GOOGL,90319,2023-05-31,122.87,0.144681,0.000708
GOOGL,90319,2023-06-30,119.7,-0.0258,0.066183
GOOGL,90319,2023-07-31,132.72,0.108772,0.035618
GOOGL,90319,2023-08-31,136.17,0.025995,-0.020608
GOOGL,90319,2023-09-29,130.86,-0.038995,-0.047391
